City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country Code
aswan,24.0934,32.907,303.36,14.0,0.0,2.78,EG
beloha,-25.1667,45.05,306.22,39.0,87.0,3.79,MG
linares,-35.85,-71.6,289.57,66.0,0.0,1.42,CL
grindavik,63.8424,-22.4338,278.15,93.0,75.0,10.29,IS
okhotsk,59.3833,143.3,257.08,86.0,100.0,1.68,RU
hinton,53.4001,-117.5857,255.15,85.0,100.0,1.03,CA
port hedland,-20.3167,118.5667,302.15,74.0,29.0,4.63,AU
bathsheba,13.2167,-59.5167,299.15,61.0,40.0,9.26,BB
sorong,-0.8833,131.25,300.02,78.0,100.0,4.74,ID
esperance,-33.8667,121.9,299.15,41.0,8.0,6.17,AU
fontem,5.4685,9.8818,306.03,28.0,87.0,2.52,CM
manokwari,-0.8667,134.0833,299.95,81.0,69.0,5.95,ID
marzuq,14.4,46.4667,301.53,15.0,2.0,2.62,YE
suhbaatar,50.2314,106.2078,252.31,84.0,50.0,1.32,MN
ascension,30.2169,-90.9001,274.15,100.0,90.0,4.41,US
albenga,44.0529,8.216000000000001,283.15,40.0,40.0,4.63,IT
kuruman,-27.4524,23.4325,300.37,46.0,0.0,2.68,ZA
york,40.1254,-77.0,274.15,60.0,90.0,2.06,US
ketchikan,55.3422,-131.6461,274.15,100.0,90.0,1.54,US
bousso,10.4795,16.7117,312.58,8.0,22.0,3.9,TD
lewistown,40.5992,-77.5714,271.15,93.0,90.0,1.56,US
atoyac,20.0167,-103.5333,277.15,87.0,1.0,1.54,MX
bud,39.447,-86.1758,262.59,89.0,100.0,5.39,US
tekirdag,40.978,27.5085,274.15,69.0,75.0,9.77,TR
khani,41.9563,42.9566,282.15,87.0,90.0,4.63,GE
greencastle,39.6445,-86.8647,262.59,85.0,90.0,5.14,US
idrinskoye,54.3708,92.1358,265.91,96.0,100.0,0.93,RU
tangzhai,34.4328,116.5911,280.93,61.0,100.0,2.53,CN
buraydah,26.326,43.975,303.15,21.0,75.0,4.12,SA
alugan,12.2188,125.4808,299.19,81.0,90.0,6.73,PH
caravelas,-17.7125,-39.2481,301.25,66.0,81.0,3.17,BR
magadan,59.5667,150.8,252.57,80.0,98.0,2.91,RU
mana,5.6592,-53.7767,299.13,75.0,97.0,6.74,GF
obernai,48.4631,7.481,275.37,64.0,0.0,3.09,FR
algiers,36.7525,3.042,288.15,51.0,20.0,3.09,DZ
shingu,33.7333,135.9833,285.08,62.0,1.0,8.91,JP
naurskaya,43.6519,45.3133,272.15,100.0,90.0,6.0,RU
amur,54.0,128.0,248.12,90.0,100.0,2.0,RU
wahiawa,21.5028,-158.0236,294.82,100.0,20.0,0.97,US
banes,20.9625,-75.7186,295.15,56.0,20.0,3.09,CU
chara,56.9064,118.2631,246.21,79.0,100.0,1.18,RU
peniche,39.3558,-9.3811,290.37,63.0,95.0,5.36,PT
koshurnikovo,54.1667,93.3,266.58,99.0,100.0,1.17,RU
cedar city,37.6775,-113.0619,269.15,74.0,90.0,1.54,US
college,64.8569,-147.8028,242.15,69.0,1.0,0.71,US
mackay,-21.15,149.2,299.15,83.0,90.0,5.66,AU
mareeba,-17.0,145.4333,299.26,94.0,75.0,2.17,AU
beringovskiy,63.05,179.3167,252.66,88.0,92.0,7.9,RU
susehri,40.1644,38.0867,283.43,50.0,38.0,4.06,TR
nanortalik,60.1432,-45.2371,266.83,88.0,0.0,7.37,GL
thinadhoo,0.5333,72.9333,301.33,75.0,33.0,3.99,MV
sistranda,63.7256,8.834,272.15,64.0,0.0,6.69,NO
cabo rojo,18.0866,-67.1457,299.26,77.0,0.0,0.45,PR
mtwara,-10.2667,40.1833,302.15,84.0,75.0,9.77,TZ
kudahuvadhoo,2.6708,72.8944,300.77,77.0,94.0,6.07,MV
puri,19.8,85.85,304.15,35.0,0.0,5.75,IN
manggar,-2.8833,108.2667,299.38,78.0,85.0,5.32,ID
lodja,-3.4833,23.4333,311.31,33.0,49.0,0.51,CD
srednekolymsk,67.45,153.6833,244.62,86.0,92.0,1.57,RU
san antero,9.3741,-75.7589,298.91,86.0,81.0,1.81,CO
darnah,32.767,22.6367,284.41,61.0,62.0,9.75,LY
mendi,-6.1761,143.6513,286.71,98.0,100.0,1.42,PG
ponta delgada,37.7333,-25.6667,287.59,54.0,20.0,8.75,PT
mandal,25.45,74.5667,301.56,15.0,64.0,3.25,IN
vicuna,-30.0319,-70.7081,289.15,82.0,90.0,2.06,CL
rio gallegos,-51.6226,-69.2181,284.15,54.0,0.0,1.54,AR
aracati,-4.5617,-37.7697,303.89,54.0,33.0,4.58,BR
campos,-21.75,-41.3,299.15,83.0,0.0,2.06,BR
sur,22.5667,59.5289,297.82,51.0,0.0,2.67,OM
san quintin,30.4833,-115.95,284.81,80.0,53.0,0.49,MX
valdivia,-39.8142,-73.2459,285.15,71.0,0.0,0.51,CL
shirvan,39.9509,48.8994,282.51,69.0,99.0,3.38,AZ
kenai,60.5544,-151.2583,267.59,62.0,75.0,3.09,US
novikovo,51.1537,37.8879,261.38,91.0,3.0,2.27,RU
mehamn,71.0357,27.8492,270.15,74.0,100.0,4.12,NO
maceio,-9.6658,-35.7353,300.15,83.0,75.0,4.08,BR
agapovka,53.2973,59.1348,260.15,61.0,40.0,3.0,RU
margate,51.3813,1.3862,282.59,86.0,99.0,2.24,GB
maku,39.2911,44.4521,283.27,44.0,33.0,1.52,IR
cockburn town,21.4612,-71.1419,298.15,69.0,40.0,4.12,TC
lac du bonnet,50.2536,-96.0612,240.14,85.0,0.0,2.52,CA
hampton,37.0299,-76.3452,276.15,100.0,90.0,3.6,US
dauriya,49.9333,116.8667,246.32,86.0,83.0,3.4,RU
ladario,-19.0047,-57.6017,299.15,83.0,75.0,1.54,BR
jumla,29.2747,82.1838,279.9,58.0,72.0,1.85,NP
troitsko-pechorsk,62.7084,56.1964,250.72,90.0,100.0,1.4,RU
ordynskoye,54.3656,81.8994,266.9,97.0,100.0,3.28,RU
alcaniz,41.05,-0.1333,281.48,95.0,100.0,2.24,ES
pangnirtung,66.1451,-65.7125,246.15,76.0,20.0,1.8,CA
port macquarie,-31.4333,152.9167,292.04,99.0,88.0,0.45,AU
rio de jesus,7.9844,-81.1631,296.59,74.0,73.0,1.41,PA
